,FULL NAME,TEAM,POS,AGE,PPG,APG,MPG,RPG,SPG,BPG,season,Salary
55,Bam Adebayo,Mia,C-F,21.73,8.9,2.2,23.3,7.3,0.88,0.79,2018-2019,2955840.0
56,Montrezl Harrell,Lac,F-C,25.21,16.6,2.0,26.3,6.5,0.85,1.34,2018-2019,6000000.0
57,Monte Morris,Den,G,23.79,10.4,3.6,24.0,2.4,0.89,0.05,2018-2019,1349383.0
58,Thaddeus Young,Ind,F,30.8,12.6,2.5,30.7,6.4,1.52,0.47,2018-2019,13964045.0
59,D'Angelo Russell,Bro,G,23.13,21.1,7.0,30.2,3.9,1.22,0.25,2018-2019,7019698.0
60,Bojan Bogdanovic,Ind,F,29.98,18.0,2.0,31.8,4.1,0.86,0.01,2018-2019,10500000.0
61,Brook Lopez,Mil,C,31.03,12.5,1.2,28.7,4.9,0.6,2.21,2018-2019,3382000.0
62,Willie Cauley-Stein,Sac,C,25.65,11.9,2.4,27.3,8.4,1.19,0.63,2018-2019,4696875.0
63,Jordan Clarkson,Cle,G,26.84,16.8,2.4,27.3,3.3,0.69,0.17,2018-2019,12500000.0
64,Malik Beasley,Den,G,22.37,11.3,1.2,23.2,2.5,0.68,0.12,2018-2019,1773840.0
65,LaMarcus Aldridge,San,F,33.73,21.3,2.4,33.2,9.2,0.54,1.32,2018-2019,22347015.0
66,Rudy Gobert,Uta,C,26.79,15.9,2.0,31.8,12.8,0.81,2.3,2018-2019,23241573.0
67,Ed Davis,Bro,C,29.85,5.8,0.8,17.9,8.6,0.43,0.41,2018-2019,4449000.0
68,D.J. Augustin,Orl,G,31.42,11.7,5.3,28.0,2.5,0.64,0.05,2018-2019,7250000.0
69,Ryan Arcidiacono,Chi,G,25.04,6.7,3.3,24.2,2.7,0.8,0.06,2018-2019,1349383.0
70,Evan Fournier,Orl,G-F,26.45,15.1,3.6,31.5,3.2,0.89,0.15,2018-2019,17150000.0
71,De'Aaron Fox,Sac,G,21.31,17.3,7.3,31.4,3.8,1.64,0.56,2018-2019,5470920.0
72,Dorian Finney-Smith,Dal,F,25.94,7.5,1.2,24.5,4.8,0.86,0.46,2018-2019,1544951.0
73,Trae Young,Atl,G,20.56,19.1,8.1,30.9,3.7,0.86,0.19,2018-2019,5356440.0
74,Terrence Ross,Orl,G-F,28.18,15.1,1.7,26.5,3.5,0.89,0.36,2018-2019,10500000.0
75,Al-Farouq Aminu,Por,F,28.55,9.4,1.3,28.3,7.5,0.84,0.41,2018-2019,6957105.0
76,Pascal Siakam,Tor,F,25.03,16.9,3.1,31.8,6.9,0.93,0.64,2018-2019,1544951.0
77,Jerami Grant,Okc,F,25.08,13.6,1.0,32.7,5.2,0.76,1.25,2018-2019,8653847.0
78,Marcus Smart,Bos,G,25.1,8.9,4.0,27.5,2.9,1.79,0.35,2018-2019,11660716.0
79,Steven Adams,Okc,C,25.73,13.9,1.6,33.4,9.5,1.49,0.96,2018-2019,24157303.0
80,Nikola Jokic,Den,C,24.14,20.1,7.3,31.3,10.8,1.35,0.69,2018-2019,24605181.0
81,Jae Crowder,Uta,F,28.77,11.9,1.7,27.1,4.8,0.8,0.39,2018-2019,7305825.0
82,Kevon Looney,Gol,F,23.18,6.3,1.5,18.5,5.2,0.56,0.68,2018-2019,1512601.0
83,Nikola Vucevic,Orl,C,28.46,20.8,3.8,31.4,12.0,1.01,1.14,2018-2019,12750000.0
84,Langston Galloway,Det,G,27.34,8.4,1.1,21.8,2.1,0.46,0.1,2018-2019,7000000.0
85,Tomas Satoransky,Was,G-F,27.45,8.9,5.0,27.0,3.5,1.04,0.18,2018-2019,3129187.0
86,Danny Green,Tor,G-F,31.8,10.3,1.6,27.7,4.0,0.91,0.66,2018-2019,10000000.0
87,Miles Bridges,Cha,F,21.06,7.5,1.2,21.2,4.1,0.68,0.61,2018-2019,3206640.0
88,Jarrett Allen,Bro,C,20.97,10.9,1.4,26.2,8.4,0.54,1.5,2018-2019,2034120.0
89,Damian Lillard,Por,G,28.74,25.8,6.9,35.5,4.6,1.11,0.41,2018-2019,27977689.0
90,Marco Belinelli,San,G-F,33.05,10.5,1.7,23.0,2.5,0.44,0.1,2018-2019,6153846.0
91,Jayson Tatum,Bos,F,21.11,15.7,2.1,31.1,6.0,1.06,0.73,2018-2019,6700800.0
92,Kelly Olynyk,Mia,F,27.98,10.0,1.8,22.9,4.7,0.67,0.46,2018-2019,12537527.0
93,Ben Simmons,Phi,G-F,22.72,16.9,7.7,34.2,8.8,1.42,0.77,2018-2019,6434520.0
94,Terry Rozier,Bos,G,25.07,9.0,2.9,22.7,3.9,0.86,0.25,2018-2019,3050390.0
95,Josh Jackson,Pho,F,22.16,11.5,2.3,25.2,4.4,0.92,0.71,2018-2019,6041520.0
96,Dennis Schroder,Okc,G,25.57,15.5,4.1,29.3,3.6,0.81,0.15,2018-2019,15500000.0
97,Jeremy Lamb,Cha,G,26.86,15.3,2.2,28.5,5.5,1.11,0.41,2018-2019,7488372.0
98,Andre Drummond,Det,C,25.67,17.3,1.4,33.5,15.6,1.73,1.76,2018-2019,25434263.0
99,Klay Thompson,Gol,G,29.17,21.5,2.4,34.0,3.8,1.06,0.6,2018-2019,18988725.0
100,Aaron Gordon,Orl,F,23.57,16.0,3.7,33.8,7.3,0.73,0.72,2018-2019,21590909.0
101,Kevin Durant,Gol,F,30.53,26.0,5.9,34.6,6.4,0.76,1.08,2018-2019,30000000.0
102,James Harden,Hou,G,29.63,36.1,7.5,36.8,6.6,2.05,0.73,2018-2019,30421854.0
103,Patrick Beverley,Lac,G,30.75,7.6,3.9,27.4,4.9,0.86,0.55,2018-2019,5027028.0
104,Eric Bledsoe,Mil,G,29.34,15.9,5.5,29.1,4.6,1.51,0.37,2018-2019,15000000.0
105,Paul George,Okc,F,28.94,28.0,4.1,36.9,8.1,2.21,0.44,2018-2019,30560700.0
106,Nemanja Bjelica,Sac,F,30.92,9.6,1.9,23.2,5.8,0.7,0.71,2018-2019,6500000.0
107,Karl-Anthony Towns,Min,F-C,23.4,24.4,3.4,33.0,12.4,0.88,1.62,2018-2019,7839435.0
108,Donovan Mitchell,Uta,G,22.59,23.8,4.2,33.7,4.1,1.38,0.4,2018-2019,3111480.0
109,Nerlens Noel,Okc,F-C,25.0,4.9,0.6,13.7,4.2,0.86,1.25,2018-2019,1757429.0
110,Zach Collins,Por,F-C,21.39,6.6,0.9,17.6,4.2,0.32,0.86,2018-2019,3628920.0
111,Alex Len,Atl,C,25.82,11.1,1.1,20.1,5.5,0.35,0.9,2018-2019,4350000.0
