,Name,Salary,Season2
486,Billy Garrett Jr.,"$42,634.00 ",2018-2019
487,Michael Frazier,"$23,685.00 ",2018-2019
488,Eric Moreland,"$17,092.00 ",2018-2019
489,Jonathan Gibson,"$17,092.00 ",2018-2019
490,Duncan Robinson,"$9,474.00 ",2018-2019
491,Kendrick Nunn,"$4,737.00 ",2018-2019
492,Cameron Reynolds,"$108,953.00 ",2018-2019
493,JaKarr Sampson,"$85,458.00 ",2018-2019
494,Greg Monroe,"$59,820.00 ",2018-2019
495,Tyler Zeller,"$59,820.00 ",2018-2019
496,Isaac Humphries,"$47,371.00 ",2018-2019
497,BJ Johnson,"$42,634.00 ",2018-2019
498,Deyonta Davis,"$25,367.00 ",2018-2019
499,Yante Maten,"$18,948.00 ",2018-2019
500,Jordan McRae,"$17,092.00 ",2018-2019
501,Tarik Phillip,"$9,474.00 ",2018-2019
502,Theo Pinson,"$4,737.00 ",2018-2019
