,Name,Salary,Season2
111,T.J. Warren,"$11,750,000.00 ",2018-2019
112,Marcus Smart,"$11,660,716.00 ",2018-2019
113,Dion Waiters,"$11,550,000.00 ",2018-2019
114,John Henson,"$11,327,466.00 ",2018-2019
115,Jusuf Nurkic,"$11,111,111.00 ",2018-2019
116,Maurice Harkless,"$10,837,079.00 ",2018-2019
117,Meyers Leonard,"$10,595,506.00 ",2018-2019
118,Terrence Ross,"$10,500,000.00 ",2018-2019
119,Rudy Gay,"$10,087,200.00 ",2018-2019
120,Jon Leuer,"$10,002,681.00 ",2018-2019
121,Danny Green,"$10,000,000.00 ",2018-2019
122,Dwight Powell,"$9,631,250.00 ",2018-2019
123,Dante Exum,"$9,600,000.00 ",2018-2019
124,Norman Powell,"$9,367,200.00 ",2018-2019
125,Bogdan Bogdanovic,"$9,000,000.00 ",2018-2019
126,E'Twaun Moore,"$8,808,685.00 ",2018-2019
127,Kosta Koufos,"$8,739,500.00 ",2018-2019
128,Jerami Grant,"$8,653,847.00 ",2018-2019
129,Julius Randle,"$8,641,000.00 ",2018-2019
130,Markelle Fultz,"$8,339,880.00 ",2018-2019
131,Joe Harris,"$8,333,333.00 ",2018-2019
132,Deandre Ayton,"$8,165,160.00 ",2018-2019
133,Lou Williams,"$8,000,000.00 ",2018-2019
134,Cory Joseph,"$7,945,000.00 ",2018-2019
135,JaMychal Green,"$7,666,667.00 ",2018-2019
136,Jeremy Lamb,"$7,488,372.00 ",2018-2019
137,Lonzo Ball,"$7,461,960.00 ",2018-2019
138,Jae Crowder,"$7,305,825.00 ",2018-2019
139,D.J. Augustin,"$7,250,000.00 ",2018-2019
140,Andre Roberson,"$10,000,000.00 ",2018-2019
141,Darren Collison,"$10,000,000.00 ",2018-2019
142,Matthew Dellavedova,"$9,607,500.00 ",2018-2019
143,Jared Dudley,"$9,530,000.00 ",2018-2019
144,Josh Richardson,"$9,367,200.00 ",2018-2019
145,Rajon Rondo,"$9,000,000.00 ",2018-2019
146,Cristiano Felicio,"$8,740,980.00 ",2018-2019
147,Fred VanVleet,"$8,653,847.00 ",2018-2019
148,Kyle Anderson,"$8,641,000.00 ",2018-2019
149,Jerryd Bayless,"$8,575,916.00 ",2018-2019
150,C.J. Miles,"$8,333,333.00 ",2018-2019
151,Shaun Livingston,"$8,307,692.00 ",2018-2019
152,Garrett Temple,"$8,000,000.00 ",2018-2019
153,P.J. Tucker,"$7,969,537.00 ",2018-2019
154,Karl-Anthony Towns,"$7,839,435.00 ",2018-2019
155,Kyle Korver,"$7,560,000.00 ",2018-2019
156,Darrell Arthur,"$7,464,912.00 ",2018-2019
157,Doug McDermott,"$7,333,333.00 ",2018-2019
158,Marvin Bagley III,"$7,305,600.00 ",2018-2019
159,Dewayne Dedmon,"$7,200,000.00 ",2018-2019
160,Lance Thomas,"$7,119,650.00 ",2018-2019
161,Davis Bertans,"$7,000,000.00 ",2018-2019
162,Langston Galloway,"$7,000,000.00 ",2018-2019
163,Al-Farouq Aminu,"$6,957,105.00 ",2018-2019
164,Luka Doncic,"$6,560,640.00 ",2018-2019
165,Mario Hezonja,"$6,500,000.00 ",2018-2019
166,Milos Teodosic,"$6,300,000.00 ",2018-2019
167,Wesley Johnson,"$6,134,520.00 ",2018-2019
168,Jonathon Simmons,"$6,000,000.00 ",2018-2019
169,Montrezl Harrell,"$6,000,000.00 ",2018-2019
170,Brandon Ingram,"$5,757,120.00 ",2018-2019
171,De'Aaron Fox,"$5,470,920.00 ",2018-2019
172,Alex Abrines,"$5,455,236.00 ",2018-2019
173,Jason Smith,"$5,450,000.00 ",2018-2019
174,Trae Young,"$5,356,440.00 ",2018-2019
175,Dwight Howard,"$5,337,000.00 ",2018-2019
176,Thabo Sefolosha,"$5,250,000.00 ",2018-2019
177,Jaylen Brown,"$5,169,960.00 ",2018-2019
178,Tony Parker,"$5,000,000.00 ",2018-2019
179,Alan Williams,"$5,000,000.00 ",2018-2019
180,D'Angelo Russell,"$7,019,698.00 ",2018-2019
181,Ersan Ilyasova,"$7,000,000.00 ",2018-2019
182,Boban Marjanovic,"$7,000,000.00 ",2018-2019
183,Jayson Tatum,"$6,700,800.00 ",2018-2019
184,Nemanja Bjelica,"$6,500,000.00 ",2018-2019
185,Ben Simmons,"$6,434,520.00 ",2018-2019
186,Marco Belinelli,"$6,153,846.00 ",2018-2019
187,Josh Jackson,"$6,041,520.00 ",2018-2019
188,Ish Smith,"$6,000,000.00 ",2018-2019
189,Jaren Jackson Jr.,"$5,915,040.00 ",2018-2019
190,Kristaps Porzingis,"$5,697,054.00 ",2018-2019
191,Ben McLemore,"$5,460,000.00 ",2018-2019
192,Patrick Patterson,"$5,451,600.00 ",2018-2019
193,Marcus Morris Sr.,"$5,375,000.00 ",2018-2019
194,DeMarcus Cousins,"$5,337,000.00 ",2018-2019
195,Alexis Ajinca,"$5,285,394.00 ",2018-2019
196,Aron Baynes,"$5,193,600.00 ",2018-2019
197,Patrick Beverley,"$5,027,028.00 ",2018-2019
198,Mike Muscala,"$5,000,000.00 ",2018-2019
199,Dirk Nowitzki,"$5,000,000.00 ",2018-2019
200,Kyle Singler,"$4,996,000.00 ",2018-2019
201,Mo Bamba,"$4,865,040.00 ",2018-2019
202,Willie Cauley-Stein,"$4,696,875.00 ",2018-2019
203,Lauri Markkanen,"$4,536,120.00 ",2018-2019
204,Kyle O'Quinn,"$4,449,000.00 ",2018-2019
205,Wendell Carter Jr.,"$4,441,200.00 ",2018-2019
206,Alex Len,"$4,350,000.00 ",2018-2019
207,Luc Mbah a Moute,"$4,320,500.00 ",2018-2019
208,Kris Dunn,"$4,221,000.00 ",2018-2019
209,Glenn Robinson III,"$4,075,000.00 ",2018-2019
210,Stanley Johnson,"$3,940,402.00 ",2018-2019
211,Dennis Smith Jr.,"$3,819,960.00 ",2018-2019
212,J.J. Barea,"$3,710,850.00 ",2018-2019
213,Zach Collins,"$3,628,920.00 ",2018-2019
214,Mikal Bridges,"$3,552,960.00 ",2018-2019
215,Jamal Murray,"$3,499,800.00 ",2018-2019
216,Jodie Meeks,"$3,454,500.00 ",2018-2019
217,Malik Monk,"$3,447,480.00 ",2018-2019
218,Allonzo Trier,"$3,382,000.00 ",2018-2019
219,Shai Gilgeous-Alexander,"$3,375,360.00 ",2018-2019
220,Jonathan Isaac,"$4,969,080.00 ",2018-2019
221,Anthony Tolliver,"$4,750,000.00 ",2018-2019
222,Dragan Bender,"$4,661,280.00 ",2018-2019
223,Ed Davis,"$4,449,000.00 ",2018-2019
224,Lance Stephenson,"$4,449,000.00 ",2018-2019
225,Justin Holiday,"$4,384,616.00 ",2018-2019
