,Name,Salary,Season2
0,Stephen Curry,"$40,231,758.00 ",2020-2021
1,Russell Westbrook,"$38,506,482.00 ",2020-2021
2,Kevin Durant,"$38,199,000.00 ",2020-2021
3,LeBron James,"$37,436,858.00 ",2020-2021
4,Blake Griffin,"$34,449,964.00 ",2020-2021
5,Jimmy Butler,"$32,742,000.00 ",2020-2021
6,Klay Thompson,"$32,742,000.00 ",2020-2021
7,Gordon Hayward,"$32,700,690.00 ",2020-2021
8,Kyrie Irving,"$31,742,000.00 ",2020-2021
9,Paul George,"$30,560,700.00 ",2020-2021
10,Damian Lillard,"$29,802,321.00 ",2020-2021
11,Al Horford,"$28,000,000.00 ",2020-2021
12,DeMar DeRozan,"$27,739,975.00 ",2020-2021
13,Joel Embiid,"$27,504,630.00 ",2020-2021
14,Nikola Jokic,"$27,504,630.00 ",2020-2021
15,D'Angelo Russell,"$27,285,000.00 ",2020-2021
16,Kristaps Porzingis,"$27,285,000.00 ",2020-2021
17,Bradley Beal,"$27,093,019.00 ",2020-2021
18,Anthony Davis,"$27,093,018.00 ",2020-2021
19,Jrue Holiday,"$26,231,111.00 ",2020-2021
20,Chris Paul,"$38,506,482.00 ",2020-2021
21,John Wall,"$38,199,000.00 ",2020-2021
22,James Harden,"$38,199,000.00 ",2020-2021
23,Kyle Lowry,"$34,996,296.00 ",2020-2021
24,Tobias Harris,"$32,742,000.00 ",2020-2021
25,Kawhi Leonard,"$32,742,000.00 ",2020-2021
26,Kemba Walker,"$32,742,000.00 ",2020-2021
27,Mike Conley,"$32,511,624.00 ",2020-2021
28,Khris Middleton,"$30,603,448.00 ",2020-2021
29,Paul Millsap,"$30,350,000.00 ",2020-2021
30,Kevin Love,"$28,942,830.00 ",2020-2021
31,Nikola Vucevic,"$28,000,000.00 ",2020-2021
32,CJ McCollum,"$27,556,959.00 ",2020-2021
33,Andrew Wiggins,"$27,504,630.00 ",2020-2021
34,Devin Booker,"$27,285,000.00 ",2020-2021
35,Karl-Anthony Towns,"$27,285,000.00 ",2020-2021
36,Otto Porter Jr.,"$27,250,575.00 ",2020-2021
37,Andre Drummond,"$27,093,019.00 ",2020-2021
38,Hassan Whiteside,"$27,093,017.00 ",2020-2021
39,LaMarcus Aldridge,"$26,000,000.00 ",2020-2021
40,Steven Adams,"$25,842,697.00 ",2020-2021
41,Marc Gasol,"$25,595,700.00 ",2020-2021
42,Chandler Parsons,"$25,102,511.00 ",2020-2021
43,Serge Ibaka,"$23,271,604.00 ",2020-2021
44,Danilo Gallinari,"$22,615,559.00 ",2020-2021
45,Tim Hardaway Jr.,"$20,025,127.00 ",2020-2021
46,Terry Rozier,"$19,894,737.00 ",2020-2021
47,Zach LaVine,"$19,500,000.00 ",2020-2021
48,Goran Dragic,"$19,217,900.00 ",2020-2021
