,Name,Salary,Season2
49,Evan Turner,"$18,606,556.00 ",2020-2021
50,Tristan Thompson,"$18,539,130.00 ",2020-2021
51,Julius Randle,"$18,000,000.00 ",2020-2021
52,Gary Harris,"$17,839,286.00 ",2020-2021
53,Andre Iguodala,"$17,185,185.00 ",2020-2021
54,Bismack Biyombo,"$17,000,000.00 ",2020-2021
55,Timofey Mozgov,"$16,720,000.00 ",2020-2021
56,Ricky Rubio,"$16,200,000.00 ",2020-2021
57,Brandon Knight,"$15,643,750.00 ",2020-2021
58,Eric Bledsoe,"$15,625,000.00 ",2020-2021
59,Ian Mahinmi,"$15,450,051.00 ",2020-2021
60,Giannis Antetokounmpo,"$25,842,697.00 ",2020-2021
61,Nicolas Batum,"$25,565,217.00 ",2020-2021
62,Harrison Barnes,"$24,147,727.00 ",2020-2021
63,Rudy Gobert,"$23,241,573.00 ",2020-2021
64,Victor Oladipo,"$21,000,000.00 ",2020-2021
65,Malcolm Brogdon,"$20,000,000.00 ",2020-2021
66,Aaron Gordon,"$19,863,636.00 ",2020-2021
67,Kent Bazemore,"$19,269,662.00 ",2020-2021
68,Jeff Teague,"$19,000,000.00 ",2020-2021
69,Draymond Green,"$18,539,130.00 ",2020-2021
70,Allen Crabbe,"$18,500,000.00 ",2020-2021
71,Myles Turner,"$18,000,000.00 ",2020-2021
72,Derrick Favors,"$17,650,000.00 ",2020-2021
73,Evan Fournier,"$17,150,000.00 ",2020-2021
74,Bojan Bogdanovic,"$17,000,000.00 ",2020-2021
75,Gorgui Dieng,"$16,229,213.00 ",2020-2021
76,Jonas Valanciunas,"$16,000,000.00 ",2020-2021
77,Kelly Oubre Jr.,"$15,625,000.00 ",2020-2021
78,Dennis Schroder,"$15,500,000.00 ",2020-2021
79,James Johnson,"$15,349,400.00 ",2020-2021
80,Bobby Portis,"$15,000,000.00 ",2020-2021
81,Clint Capela,"$14,896,552.00 ",2020-2021
82,Danny Green,"$14,634,146.00 ",2020-2021
83,Cody Zeller,"$14,471,910.00 ",2020-2021
84,Mason Plumlee,"$14,041,096.00 ",2020-2021
85,JJ Redick,"$13,486,300.00 ",2020-2021
86,Dewayne Dedmon,"$13,333,333.00 ",2020-2021
87,Justise Winslow,"$13,000,000.00 ",2020-2021
88,Will Barton,"$12,776,786.00 ",2020-2021
89,Solomon Hill,"$12,758,781.00 ",2020-2021
90,Kelly Olynyk,"$12,667,885.00 ",2020-2021
91,Miles Plumlee,"$12,500,000.00 ",2020-2021
92,Nikola Mirotic,"$12,500,000.00 ",2020-2021
93,Tyreke Evans,"$12,400,000.00 ",2020-2021
94,Trevor Ariza,"$12,195,122.00 ",2020-2021
95,Cory Joseph,"$12,000,000.00 ",2020-2021
96,Zach Randolph,"$11,692,308.00 ",2020-2021
97,Robert Covington,"$11,301,219.00 ",2020-2021
98,Omer Asik,"$11,286,516.00 ",2020-2021
99,T.J. Warren,"$10,810,000.00 ",2020-2021
100,Marcus Morris Sr.,"$15,000,000.00 ",2020-2021
101,Luke Babbitt,"$14,651,700.00 ",2020-2021
102,Rudy Gay,"$14,500,000.00 ",2020-2021
103,Eric Gordon,"$14,057,730.00 ",2020-2021
104,Marcin Gortat,"$13,565,218.00 ",2020-2021
105,Jordan Clarkson,"$13,437,500.00 ",2020-2021
106,Jusuf Nurkic,"$13,125,000.00 ",2020-2021
107,Thaddeus Young,"$12,900,000.00 ",2020-2021
108,Courtney Lee,"$12,759,670.00 ",2020-2021
109,Larry Nance Jr.,"$12,727,273.00 ",2020-2021
110,Marcus Smart,"$12,553,571.00 ",2020-2021
111,Terrence Ross,"$12,500,000.00 ",2020-2021
112,Patty Mills,"$12,428,571.00 ",2020-2021
113,Patrick Beverley,"$12,345,680.00 ",2020-2021
114,Brook Lopez,"$12,093,023.00 ",2020-2021
115,Joe Ingles,"$11,954,546.00 ",2020-2021
116,Tony Snell,"$11,392,857.00 ",2020-2021
117,Meyers Leonard,"$11,286,516.00 ",2020-2021
118,Maurice Harkless,"$11,011,234.00 ",2020-2021
119,Andre Roberson,"$10,740,740.00 ",2020-2021
120,Spencer Dinwiddie,"$10,605,600.00 ",2020-2021
121,Dwight Powell,"$10,259,375.00 ",2020-2021
122,Josh Richardson,"$10,116,576.00 ",2020-2021
123,Tomas Satoransky,"$10,000,000.00 ",2020-2021
124,Zion Williamson,"$9,757,440.00 ",2020-2021
125,John Henson,"$9,732,396.00 ",2020-2021
126,Dante Exum,"$9,600,000.00 ",2020-2021
127,Delon Wright,"$9,473,684.00 ",2020-2021
128,Jerami Grant,"$9,346,153.00 ",2020-2021
129,Al-Farouq Aminu,"$9,258,000.00 ",2020-2021
130,Kyle Anderson,"$9,073,050.00 ",2020-2021
131,Ja Morant,"$8,730,240.00 ",2020-2021
132,E'Twaun Moore,"$8,664,928.00 ",2020-2021
133,Bogdan Bogdanovic,"$8,529,386.00 ",2020-2021
134,C.J. Miles,"$8,333,333.00 ",2020-2021
135,Ben Simmons,"$8,113,930.00 ",2020-2021
136,Thomas Bryant,"$8,000,000.00 ",2020-2021
137,Wayne Ellington,"$8,000,000.00 ",2020-2021
138,Maxi Kleber,"$8,000,000.00 ",2020-2021
139,Jayson Tatum,"$7,830,000.00 ",2020-2021
140,Jeremy Lamb,"$10,500,000.00 ",2020-2021
141,Norman Powell,"$10,116,576.00 ",2020-2021
142,Darren Collison,"$10,000,000.00 ",2020-2021
143,DeAndre Jordan,"$9,881,598.00 ",2020-2021
144,Markelle Fultz,"$9,745,200.00 ",2020-2021
145,Matthew Dellavedova,"$9,607,500.00 ",2020-2021
146,Deandre Ayton,"$9,562,920.00 ",2020-2021
147,Fred VanVleet,"$9,346,153.00 ",2020-2021
148,Tyus Jones,"$9,258,000.00 ",2020-2021
149,George Hill,"$9,133,907.00 ",2020-2021
150,Taj Gibson,"$9,000,000.00 ",2020-2021
151,Lonzo Ball,"$8,719,320.00 ",2020-2021
152,Marvin Bagley III,"$8,556,120.00 ",2020-2021
153,P.J. Tucker,"$8,349,039.00 ",2020-2021
154,Cristiano Felicio,"$8,156,500.00 ",2020-2021
155,Kentavious Caldwell-Pope,"$8,089,282.00 ",2020-2021
156,Elfrid Payton,"$8,000,000.00 ",2020-2021
157,Lou Williams,"$8,000,000.00 ",2020-2021
158,RJ Barrett,"$7,839,960.00 ",2020-2021
159,Jae Crowder,"$7,815,533.00 ",2020-2021
160,Luka Doncic,"$7,683,360.00 ",2020-2021
161,Darrell Arthur,"$7,464,912.00 ",2020-2021
162,Doug McDermott,"$7,333,333.00 ",2020-2021
163,Derrick Rose,"$7,317,073.00 ",2020-2021
164,D.J. Augustin,"$7,250,000.00 ",2020-2021
165,Josh Jackson,"$7,059,480.00 ",2020-2021
166,Ersan Ilyasova,"$7,000,000.00 ",2020-2021
167,Jaren Jackson Jr.,"$6,927,480.00 ",2020-2021
168,Jaylen Brown,"$6,534,829.00 ",2020-2021
169,Ivica Zubac,"$6,481,482.00 ",2020-2021
170,De'Aaron Fox,"$6,392,760.00 ",2020-2021
171,Trae Young,"$6,273,000.00 ",2020-2021
172,Ish Smith,"$6,000,000.00 ",2020-2021
173,Marco Belinelli,"$5,846,154.00 ",2020-2021
174,Jonathan Isaac,"$5,806,440.00 ",2020-2021
175,Jonathon Simmons,"$5,700,000.00 ",2020-2021
176,Trey Lyles,"$5,500,000.00 ",2020-2021
177,Aron Baynes,"$5,453,280.00 ",2020-2021
178,Kris Dunn,"$5,348,007.00 ",2020-2021
179,Lauri Markkanen,"$5,300,400.00 ",2020-2021
180,Joe Harris,"$7,666,667.00 ",2020-2021
181,Seth Curry,"$7,461,380.00 ",2020-2021
182,Langston Galloway,"$7,333,333.00 ",2020-2021
183,Brandon Ingram,"$7,265,485.00 ",2020-2021
184,De'Andre Hunter,"$7,068,360.00 ",2020-2021
185,Davis Bertans,"$7,000,000.00 ",2020-2021
186,Darius Miller,"$7,000,000.00 ",2020-2021
187,Nemanja Bjelica,"$6,825,000.00 ",2020-2021
188,Jabari Parker,"$6,500,000.00 ",2020-2021
189,Darius Garland,"$6,400,920.00 ",2020-2021
190,Milos Teodosic,"$6,300,000.00 ",2020-2021
191,Wesley Johnson,"$6,134,520.00 ",2020-2021
192,Montrezl Harrell,"$6,000,000.00 ",2020-2021
193,Jarrett Culver,"$5,813,640.00 ",2020-2021
194,Rodney Hood,"$5,718,000.00 ",2020-2021
195,Mo Bamba,"$5,697,600.00 ",2020-2021
196,Alex Abrines,"$5,455,236.00 ",2020-2021
197,Jason Smith,"$5,450,000.00 ",2020-2021
198,Coby White,"$5,307,120.00 ",2020-2021
199,Alexis Ajinca,"$5,285,394.00 ",2020-2021
200,Wendell Carter Jr.,"$5,201,400.00 ",2020-2021
201,Daniel Theis,"$5,000,000.00 ",2020-2021
202,Jaxson Hayes,"$4,862,040.00 ",2020-2021
203,Frank Ntilikina,"$4,855,800.00 ",2020-2021
204,Ed Davis,"$4,767,000.00 ",2020-2021
205,Frank Kaminsky,"$4,767,000.00 ",2020-2021
206,Garrett Temple,"$4,767,000.00 ",2020-2021
207,Avery Bradley,"$4,767,000.00 ",2020-2021
208,Justin Holiday,"$4,767,000.00 ",2020-2021
209,Collin Sexton,"$4,764,960.00 ",2020-2021
210,Kevon Looney,"$4,464,226.00 ",2020-2021
211,Jamal Murray,"$4,444,746.00 ",2020-2021
212,Cam Reddish,"$4,245,720.00 ",2020-2021
213,Mikal Bridges,"$4,161,000.00 ",2020-2021
214,Nicolo Melli,"$4,102,564.00 ",2020-2021
215,Malik Monk,"$4,028,400.00 ",2020-2021
216,Reggie Bullock,"$4,000,000.00 ",2020-2021
217,Dorian Finney-Smith,"$4,000,000.00 ",2020-2021
218,PJ Washington,"$3,831,840.00 ",2020-2021
219,Miles Bridges,"$3,755,400.00 ",2020-2021
220,Dirk Nowitzki,"$5,000,000.00 ",2020-2021
221,Kyle Singler,"$4,996,000.00 ",2020-2021
222,Buddy Hield,"$4,861,208.00 ",2020-2021
223,Rodney McGruder,"$4,807,693.00 ",2020-2021
224,Richaun Holmes,"$4,767,000.00 ",2020-2021
225,Mike Scott,"$4,767,000.00 ",2020-2021
226,Robin Lopez,"$4,767,000.00 ",2020-2021
227,JaMychal Green,"$4,767,000.00 ",2020-2021
228,Enes Kanter,"$4,767,000.00 ",2020-2021
229,Rui Hachimura,"$4,469,160.00 ",2020-2021
230,Dennis Smith Jr.,"$4,463,640.00 ",2020-2021
231,Kevin Knox II,"$4,380,120.00 ",2020-2021
232,Zach Collins,"$4,240,200.00 ",2020-2021
233,Alex Len,"$4,160,000.00 ",2020-2021
234,Cameron Johnson,"$4,033,440.00 ",2020-2021
235,Patrick McCaw,"$4,000,000.00 ",2020-2021
236,JaVale McGee,"$4,000,000.00 ",2020-2021
237,Shai Gilgeous-Alexander,"$3,952,920.00 ",2020-2021
238,Luke Kennard,"$3,827,160.00 ",2020-2021
239,Jakob Poeltl,"$3,754,886.00 ",2020-2021
240,Tyler Herro,"$3,640,200.00 ",2020-2021
241,Stanley Johnson,"$3,623,000.00 ",2020-2021
242,Thon Maker,"$3,569,643.00 ",2020-2021
243,Allonzo Trier,"$3,551,000.00 ",2020-2021
244,Domantas Sabonis,"$3,529,555.00 ",2020-2021
245,DeMarcus Cousins,"$3,500,000.00 ",2020-2021
246,Boban Marjanovic,"$3,500,000.00 ",2020-2021
247,Taurean Prince,"$3,481,986.00 ",2020-2021
248,Bam Adebayo,"$3,454,080.00 ",2020-2021
249,Denzel Valentine,"$3,377,569.00 ",2020-2021
250,Sekou Doumbouya,"$3,285,120.00 ",2020-2021
251,Troy Brown Jr.,"$3,219,480.00 ",2020-2021
252,Zhaire Smith,"$3,058,800.00 ",2020-2021
253,Quinn Cook,"$3,000,000.00 ",2020-2021
254,Nickeil Alexander-Walker,"$2,964,840.00 ",2020-2021
255,Cedi Osman,"$2,907,143.00 ",2020-2021
256,Bryn Forbes,"$2,875,000.00 ",2020-2021
257,T.J. Leaf,"$2,813,280.00 ",2020-2021
258,Malik Beasley,"$2,731,714.00 ",2020-2021
259,Luka Samanic,"$2,689,920.00 ",2020-2021
260,Donovan Mitchell,"$3,635,760.00 ",2020-2021
261,Jake Layman,"$3,581,986.00 ",2020-2021
262,Jerome Robinson,"$3,567,720.00 ",2020-2021
263,Danuel House Jr.,"$3,540,000.00 ",2020-2021
264,Michael Beasley,"$3,500,000.00 ",2020-2021
265,T.J. McConnell,"$3,500,000.00 ",2020-2021
266,Dario Saric,"$3,481,986.00 ",2020-2021
267,Romeo Langford,"$3,458,400.00 ",2020-2021
268,Michael Porter Jr.,"$3,389,400.00 ",2020-2021
269,Juan Hernangomez,"$3,321,030.00 ",2020-2021
270,Justin Jackson,"$3,280,920.00 ",2020-2021
271,Yogi Ferrell,"$3,150,000.00 ",2020-2021
272,Khem Birch,"$3,000,000.00 ",2020-2021
273,Ryan Arcidiacono,"$3,000,000.00 ",2020-2021
274,D.J. Wilson,"$2,961,120.00 ",2020-2021
275,Donte DiVincenzo,"$2,905,800.00 ",2020-2021
276,Goga Bitadze,"$2,816,760.00 ",2020-2021
277,Alex Caruso,"$2,750,000.00 ",2020-2021
278,Joakim Noah,"$2,692,991.00 ",2020-2021
279,Lonnie Walker IV,"$2,689,920.00 ",2020-2021
280,John Collins,"$2,686,560.00 ",2020-2021
281,Caris LeVert,"$2,625,718.00 ",2020-2021
282,DeAndre' Bembry,"$2,603,982.00 ",2020-2021
283,Harry Giles III,"$2,578,800.00 ",2020-2021
284,Rajon Rondo,"$2,564,753.00 ",2020-2021
285,Josh Okogie,"$2,530,680.00 ",2020-2021
286,Rondae Hollis-Jefferson,"$2,500,000.00 ",2020-2021
287,Brandon Clarke,"$2,478,840.00 ",2020-2021
288,Emeka Okafor,"$2,445,085.00 ",2020-2021
289,Grayson Allen,"$2,429,400.00 ",2020-2021
290,Jarrett Allen,"$2,376,840.00 ",2020-2021
291,Skal Labissiere,"$2,338,847.00 ",2020-2021
292,Aaron Holiday,"$2,329,200.00 ",2020-2021
293,Damian Jones,"$2,305,057.00 ",2020-2021
294,OG Anunoby,"$2,281,800.00 ",2020-2021
295,Luke Kornet,"$2,250,000.00 ",2020-2021
296,Ty Jerome,"$2,193,480.00 ",2020-2021
297,Anfernee Simons,"$2,149,560.00 ",2020-2021
298,Nassir Little,"$2,105,520.00 ",2020-2021
299,Sean Kilpatrick,"$2,054,856.00 ",2020-2021
300,Kevin Huerter,"$2,636,280.00 ",2020-2021
301,Marko Guduric,"$2,625,000.00 ",2020-2021
302,Matisse Thybulle,"$2,582,160.00 ",2020-2021
303,Wesley Matthews,"$2,564,753.00 ",2020-2021
304,Nene Hilario,"$2,564,753.00 ",2020-2021
305,Vincent Poirier,"$2,505,793.00 ",2020-2021
306,Manu Ginobili,"$2,500,000.00 ",2020-2021
307,Terrance Ferguson,"$2,475,840.00 ",2020-2021
308,Kendrick Perkins,"$2,445,085.00 ",2020-2021
309,Grant Williams,"$2,379,840.00 ",2020-2021
310,Pascal Siakam,"$2,351,839.00 ",2020-2021
311,Chandler Hutchison,"$2,332,320.00 ",2020-2021
312,Dejounte Murray,"$2,321,735.00 ",2020-2021
313,Darius Bazley,"$2,284,800.00 ",2020-2021
314,Ante Zizic,"$2,281,800.00 ",2020-2021
315,Brandon Jennings,"$2,222,803.00 ",2020-2021
316,Willie Cauley-Stein,"$2,177,483.00 ",2020-2021
317,Austin Rivers,"$2,147,317.00 ",2020-2021
318,Moritz Wagner,"$2,063,520.00 ",2020-2021
319,Dylan Windler,"$2,035,800.00 ",2020-2021
320,Caleb Swanigan,"$2,033,160.00 ",2020-2021
321,Ben McLemore,"$2,028,594.00 ",2020-2021
322,Noah Vonleh,"$2,000,000.00 ",2020-2021
323,Landry Shamet,"$1,995,120.00 ",2020-2021
324,Kyle Kuzma,"$1,974,600.00 ",2020-2021
325,Tony Bradley,"$1,962,360.00 ",2020-2021
326,Derrick White,"$1,948,080.00 ",2020-2021
327,Jacob Evans,"$1,925,880.00 ",2020-2021
328,Omari Spellman,"$1,897,800.00 ",2020-2021
329,Shabazz Napier,"$1,845,301.00 ",2020-2021
330,DeAndre Liggins,"$1,795,015.00 ",2020-2021
331,Markieff Morris,"$1,750,000.00 ",2020-2021
332,Cameron Payne,"$1,737,145.00 ",2020-2021
333,Jahlil Okafor,"$1,702,486.00 ",2020-2021
334,Jonah Bolden,"$1,698,450.00 ",2020-2021
335,Dragan Bender,"$1,678,854.00 ",2020-2021
336,Julyan Stone,"$1,656,092.00 ",2020-2021
337,Josh Hart,"$1,655,160.00 ",2020-2021
338,Derrick Jones Jr.,"$1,645,357.00 ",2020-2021
339,Jordan McRae,"$1,645,357.00 ",2020-2021
340,Mike Muscala,"$2,028,594.00 ",2020-2021
341,Edmond Sumner,"$2,000,000.00 ",2020-2021
342,Torrey Craig,"$2,000,000.00 ",2020-2021
343,Mfiondu Kabengele,"$1,977,000.00 ",2020-2021
344,Jordan Poole,"$1,964,760.00 ",2020-2021
345,Keldon Johnson,"$1,950,600.00 ",2020-2021
346,Robert Williams III,"$1,937,520.00 ",2020-2021
347,Dzanan Musa,"$1,911,600.00 ",2020-2021
348,James Ennis III,"$1,882,867.00 ",2020-2021
349,Bruno Caboclo,"$1,845,301.00 ",2020-2021
350,PJ Dozier,"$1,762,796.00 ",2020-2021
351,Mario Hezonja,"$1,737,145.00 ",2020-2021
352,Pat Connaughton,"$1,723,050.00 ",2020-2021
353,Rodions Kurucs,"$1,699,236.00 ",2020-2021
354,Cheick Diallo,"$1,678,854.00 ",2020-2021
355,Willy Hernangomez,"$1,676,735.00 ",2020-2021
356,MarShon Brooks,"$1,656,092.00 ",2020-2021
357,Georges Niang,"$1,645,357.00 ",2020-2021
358,Christian Wood,"$1,645,357.00 ",2020-2021
359,Treveon Graham,"$1,645,357.00 ",2020-2021
360,Isaiah Taylor,"$1,620,564.00 ",2020-2021
361,Nerlens Noel,"$1,620,564.00 ",2020-2021
362,Furkan Korkmaz,"$1,620,564.00 ",2020-2021
363,Raul Neto,"$1,620,564.00 ",2020-2021
364,Alec Burks,"$1,620,564.00 ",2020-2021
365,Wilson Chandler,"$1,620,564.00 ",2020-2021
366,Udonis Haslem,"$1,620,564.00 ",2020-2021
367,Dwight Howard,"$1,620,564.00 ",2020-2021
368,Patrick Patterson,"$1,620,564.00 ",2020-2021
369,Ryan Anderson,"$1,620,564.00 ",2020-2021
370,Tyson Chandler,"$1,620,564.00 ",2020-2021
371,Tim Frazier,"$1,620,564.00 ",2020-2021
372,Gerald Green,"$1,620,564.00 ",2020-2021
373,J.J. Barea,"$1,620,564.00 ",2020-2021
374,Jordan Bell,"$1,620,564.00 ",2020-2021
375,Vince Carter,"$1,620,564.00 ",2020-2021
376,Dillon Brooks,"$1,618,520.00 ",2020-2021
377,Abdel Nader,"$1,618,520.00 ",2020-2021
378,Sterling Brown,"$1,618,520.00 ",2020-2021
379,Semi Ojeleye,"$1,618,520.00 ",2020-2021
380,Emmanuel Mudiay,"$1,620,564.00 ",2020-2021
381,Tyler Lydon,"$1,620,564.00 ",2020-2021
382,Glenn Robinson III,"$1,620,564.00 ",2020-2021
383,Kyle O'Quinn,"$1,620,564.00 ",2020-2021
384,Michael Carter-Williams,"$1,620,564.00 ",2020-2021
385,Kyle Korver,"$1,620,564.00 ",2020-2021
386,Jared Dudley,"$1,620,564.00 ",2020-2021
387,Isaiah Thomas,"$1,620,564.00 ",2020-2021
388,JaKarr Sampson,"$1,620,564.00 ",2020-2021
389,Thabo Sefolosha,"$1,620,564.00 ",2020-2021
390,Justin Patton,"$1,620,564.00 ",2020-2021
391,Joe Johnson,"$1,620,564.00 ",2020-2021
392,Trey Burke,"$1,620,564.00 ",2020-2021
393,Jarell Martin,"$1,620,564.00 ",2020-2021
394,Shaquille Harrison,"$1,620,564.00 ",2020-2021
395,Dwayne Bacon,"$1,618,520.00 ",2020-2021
396,Royce O'Neale,"$1,618,520.00 ",2020-2021
397,Damyean Dotson,"$1,618,520.00 ",2020-2021
398,Frank Jackson,"$1,618,520.00 ",2020-2021
399,Wes Iwundu,"$1,618,420.00 ",2020-2021
400,Dwight Buycks,"$1,600,520.00 ",2020-2021
401,Chris Boucher,"$1,588,231.00 ",2020-2021
402,Monte Morris,"$1,588,231.00 ",2020-2021
403,Tyrone Wallace,"$1,588,231.00 ",2020-2021
404,Georgios Papagiannis,"$1,544,951.00 ",2020-2021
405,Wade Baldwin IV,"$1,544,951.00 ",2020-2021
406,Paul Zipser,"$1,544,951.00 ",2020-2021
407,Omri Casspi,"$1,512,601.00 ",2020-2021
408,Isaiah Canaan,"$1,512,601.00 ",2020-2021
409,Nigel Williams-Goss,"$1,500,000.00 ",2020-2021
410,Alfonzo McKinnie,"$1,500,000.00 ",2020-2021
411,Wenyen Gabriel,"$1,445,697.00 ",2020-2021
412,Thanasis Antetokounmpo,"$1,445,697.00 ",2020-2021
413,Brad Wanamaker,"$1,445,697.00 ",2020-2021
414,Devonte' Graham,"$1,416,852.00 ",2020-2021
415,Jemerrio Jones,"$1,416,852.00 ",2020-2021
416,Deonte Burton,"$1,416,852.00 ",2020-2021
417,Gary Trent Jr.,"$1,416,852.00 ",2020-2021
418,Jevon Carter,"$1,416,852.00 ",2020-2021
419,Jarred Vanderbilt,"$1,416,852.00 ",2020-2021
420,Mitchell Robinson,"$1,599,712.00 ",2020-2021
421,Malcolm Miller,"$1,588,231.00 ",2020-2021
422,Antonio Blakeney,"$1,588,231.00 ",2020-2021
423,Malachi Richardson,"$1,569,360.00 ",2020-2021
424,Chinanu Onuaku,"$1,544,951.00 ",2020-2021
425,Isaiah Whitehead,"$1,544,951.00 ",2020-2021
426,Amile Jefferson,"$1,529,007.00 ",2020-2021
427,Lorenzo Brown,"$1,512,601.00 ",2020-2021
428,Dwyane Wade,"$1,512,601.00 ",2020-2021
429,Isaiah Roby,"$1,500,000.00 ",2020-2021
430,Shake Milton,"$1,455,697.00 ",2020-2021
431,Theo Pinson,"$1,445,697.00 ",2020-2021
432,Derrick Walton Jr.,"$1,445,697.00 ",2020-2021
433,Iman Shumpert,"$1,419,138.00 ",2020-2021
434,De'Anthony Melton,"$1,416,852.00 ",2020-2021
435,Hamidou Diallo,"$1,416,852.00 ",2020-2021
436,Chimezie Metu,"$1,416,852.00 ",2020-2021
437,Elie Okobo,"$1,416,852.00 ",2020-2021
438,Melvin Frazier Jr.,"$1,416,852.00 ",2020-2021
439,Duncan Robinson,"$1,416,852.00 ",2020-2021
440,Kendrick Nunn,"$1,416,852.00 ",2020-2021
441,Isaiah Hartenstein,"$1,416,852.00 ",2020-2021
442,Khyri Thomas,"$1,416,852.00 ",2020-2021
443,Keita Bates-Diop,"$1,416,852.00 ",2020-2021
444,Kenrich Williams,"$1,416,852.00 ",2020-2021
445,Yante Maten,"$1,416,852.00 ",2020-2021
446,Tarik Phillip,"$1,416,842.00 ",2020-2021
447,Bruno Fernando,"$1,400,000.00 ",2020-2021
448,Kyle Collinsworth,"$1,378,242.00 ",2020-2021
449,Jaylen Morris,"$1,378,242.00 ",2020-2021
450,David Stockton,"$1,378,242.00 ",2020-2021
451,Zhou Qi,"$1,378,242.00 ",2020-2021
452,Carmelo Anthony,"$1,364,204.00 ",2020-2021
453,Ben Moore,"$1,349,383.00 ",2020-2021
454,Kevin Porter Jr.,"$1,290,960.00 ",2020-2021
455,Okaro White,"$1,187,862.00 ",2020-2021
456,Gary Payton II,"$1,052,909.00 ",2020-2021
457,Admiral Schofield,"$1,000,000.00 ",2020-2021
458,Ron Baker,"$948,580.00 ",2020-2021
459,Jalen McDaniels,"$898,310.00 ",2020-2021
460,Alize Johnson,"$1,416,852.00 ",2020-2021
461,Bruce Brown,"$1,416,852.00 ",2020-2021
462,Sviatoslav Mykhailiuk,"$1,416,852.00 ",2020-2021
463,Jalen Brunson,"$1,416,852.00 ",2020-2021
464,Dairis Bertans,"$1,416,852.00 ",2020-2021
465,Isaac Bonga,"$1,416,842.00 ",2020-2021
466,Jaylen Nowell,"$1,400,000.00 ",2020-2021
467,Dakari Johnson,"$1,378,242.00 ",2020-2021
468,Brandon Paul,"$1,378,242.00 ",2020-2021
469,Rodney Purvis,"$1,378,242.00 ",2020-2021
470,Ike Anigbogu,"$1,378,242.00 ",2020-2021
471,Aaron Jackson,"$1,378,242.00 ",2020-2021
472,Jabari Bird,"$1,349,464.00 ",2020-2021
473,James Nunnally,"$1,349,383.00 ",2020-2021
474,Carsen Edwards,"$1,228,026.00 ",2020-2021
475,Cody Martin,"$1,173,310.00 ",2020-2021
476,Nick Young,"$1,042,584.00 ",2020-2021
477,Terance Mann,"$1,000,000.00 ",2020-2021
478,David Nwaba,"$903,111.00 ",2020-2021
479,Caleb Martin,"$898,310.00 ",2020-2021
480,Dewan Hernandez,"$898,310.00 ",2020-2021
481,Matt Thomas,"$898,310.00 ",2020-2021
482,Miye Oni,"$898,310.00 ",2020-2021
483,Justin James,"$898,310.00 ",2020-2021
484,Ignas Brazdeikis,"$898,310.00 ",2020-2021
